trial,status,error_type,latency_seconds,prompt_tokens,completion_tokens,cost_usd,gds,pass_1,subtask_results,fault_fired
18,success,,4.244692837000912,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
19,success,,3.056635021001057,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
20,success,,2.8251519140012533,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
21,error,RateLimitError,1.3645895099998597,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
22,success,,2.5766271150005196,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
23,success,,2.8385302189999493,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
24,error,RateLimitError,1.431265216000611,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
25,error,RateLimitError,1.3475032300011662,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
26,success,,3.3707461609992606,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
27,success,,2.4735404459988786,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
28,success,,2.103734799000449,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
29,success,,2.3288767650010413,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
30,success,,2.7723678140009724,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
31,success,,2.9964157239992346,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
32,success,,2.245233682999242,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
33,success,,3.289340118000837,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
34,success,,2.727297022998755,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
35,success,,3.849430450998625,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
36,success,,3.5140807289990335,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
37,error,RateLimitError,1.3608270519998769,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
38,success,,3.276966203000484,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
39,success,,2.906117419999646,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
40,success,,2.985097381999367,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
41,error,RateLimitError,1.3601804740010266,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
42,success,,3.807480529998429,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
43,success,,2.1207785890001105,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
44,success,,3.4293180919994484,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
45,success,,3.147159362999446,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
46,success,,3.2945133299999725,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
47,success,,3.1866009749992372,8,3,3e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
48,success,,3.8555966920011997,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
49,error,RateLimitError,1.2828494690002117,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
