trial,status,error_type,latency_seconds,prompt_tokens,completion_tokens,cost_usd,gds,pass_1,subtask_results,fault_fired
26,success,,3.5371229270003823,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
27,success,,2.6969831490005163,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
28,success,,3.5631763390010747,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
29,success,,2.2075570929991954,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
30,success,,2.8858352179995563,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
31,success,,2.1435064929992222,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
32,success,,2.15377728599924,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
33,success,,3.0962101069999335,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
34,success,,2.3412904990000243,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
35,success,,2.5218698520002363,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
36,success,,2.6482193600004393,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
37,success,,2.386770143999456,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
38,success,,2.339449581999361,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
39,success,,2.4876029930001096,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
40,success,,2.7229281010004343,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
41,success,,2.7155054649992962,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
42,success,,3.349328479000178,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
43,success,,2.430248627000765,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
44,success,,2.917400357999213,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
45,success,,3.8229377290008415,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
46,success,,3.2857290629999625,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
47,success,,2.8225805499987473,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
48,success,,2.468055129000277,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
49,success,,3.714978282001539,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
